Net Sta   Lat.     Lon.      Elev.   SiteName
IU  BOCO    4.5869  -74.0432 3160.00 Bogota, Colombia
IU  SJG    18.1091  -66.1500  420.00 San Juan, Puerto Rico
XE  CHIT  -20.0756  -66.8851 3862.00 -
XE  CHUQ  -17.9467  -67.8162 4178.00 -
XE  COLL  -16.9221  -68.3147 4329.00 -
XE  COLO  -19.0002  -62.0049  396.00 -
XE  CRIS  -19.3747  -65.9295 3566.00 -
XE  CRUZ  -19.1034  -66.2212 4267.00 -
XE  DOOR  -19.3535  -67.2221 3749.00 -
XE  HIZO  -19.6064  -68.3233 3688.00 -
XE  ITIT  -20.2538  -63.1618  823.00 -
XE  LAJO  -17.7777  -67.4778 3788.00 -
XE  LIRI  -19.8507  -68.8462 4110.00 -
XE  PACH  -19.8681  -69.4157 1620.00 -
XE  PICH  -19.8107  -63.7239 1676.00 -
XE  POOP  -18.3880  -67.0173 3721.00 -
XE  RAUL  -19.2999  -60.7065  335.00 -
XE  ROSL  -19.4853  -64.1803 2073.00 -
XE  SALI  -19.6201  -67.7245 3779.00 -
XE  SCHO  -19.1480  -64.6446 2591.00 -
XE  SICA  -17.2924  -67.7490 4065.00 -
XE  TACA  -18.8279  -66.7331 3810.00 -
XE  YUNZ  -19.1581  -65.0700 2896.00 -
